回首来时的路，坚定的信念载着我们走了很远。	besssssbesbessbesssss
特别是2012年门票三年不得涨价规定解禁之后，许多景区集中涨价，三年不涨价变成了三年必涨价的局面，这种“涸泽而渔”的做法引起了社会各界的广泛关注。	bmebmmmebessssbebebebesbebebebessssbebessssbesbessssbmmessbebesbebesbebes
与非法排污造成的巨大损害及非法获益相比，１００万元罚款能否威慑企业非法排污？	sbebebesbebesbebebesbmmesbebebebebebes
-现今美国兵源基本上只来自人口结构中百分之一的底层。	sbebebebmesbebebesbmmesbes
杨叔子曾数次参加吴天祥、“信义兄弟”、“武汉犟妈”精神研讨会。	bmesssbebmessbebesssbebesbebmes
通过此次合作，中国石化引入首家电子商务合作伙伴，将充分发挥中国石化3万座实体网络与1号店电商网络销售优势。	bessbesbebebessbebebebessbebebebebesbebesbmebebebebes
6月2日，我省首家3D海底世界艺术车库在郑州中州大道农业路交叉口苏荷中心亮相。	bebesssssbebebebebesbebebebmebmebebebes
⑤疏通下水道，铲除杂草，及时清除各种无用积水，填塞竹节树洞。	sbebmesbebesbebebebebesbebebes
今天日报妹就偷偷为你奉上东线其他好玩有趣又相对鲜有人至的地方，你可能连听都没听过呢。	bebmesbessbebebebebesbebmmesbessbessssssss
今晚好声音秦宇子成功从齐秦“狼队”中突围而出。	besbebmebesbesbessbesss
会诞生多个汽车品牌的“汽车超市”吗？	sbessbebessbebesss
咳咳~话说，昨天太阳出来了，立马感觉点儿热了，今天小雨将再次光顾省内大部分地区，气温只有26℃左右，凉快了又，SO，这样的天气大家莫贪凉，别感冒。	besbesbebebessbebebesssbebesbebessbmebesbessbesbesbesssbesbesbebesbessbes
解决小学生午休难，您有何建议？	bebmebesssssbes
找到自己喜欢的事，每天做那么一点点，时间长了，你就会看到自己的成长。	bebebesssbesbesbesbessssssbebesbes
根据法规，高速路上违法停车，将被罚款100元，记扣3分。	bebesbmesbebesssbebmessbesss
国庆黄金周期间客运量为多少、小型客车政策等，请点击动图↓↓明天就要放假了，准备行动起来！	bebmebebmesbesbebebesssbebessbessbessbebebes
往年黄金周，市民纷纷往外跑，市里成了空巢；	bebmesbebebessssssbes
（央视新闻）成都今天灰蒙蒙的，红月亮估计没戏了，不晓得四川其他地区有希望不？	sbebesbebebmesssbebebesssbebebebesbess
面对“悬崖”，俞敏洪建议：路走不通可以放弃，但理想不能放弃。	besbessbmebesssssbebessbessbes
发现自己的英语退化，看看这些常用短语，复习复习吧，实在太有用了，没看过的赶紧拿走复习吧，花5分钟看，分分钟让你英语作文提高一个层次，童鞋们赶紧马着学习起来吧（via@Happy张江）	bebesbebesbebebebesbebessbesbessssssbebebessssbessbmessbebebessbesbmebessbebessbmesbmmmebes
国家卫计委相关负责人表示,下一步将启动立法研究,推动将《人类辅助生殖技术管理条例》列入国务院立法计划,加大对代孕等违法违规行为的惩处力度。	bebmebebmebesssssbebebesbessbebebebebebesbebmebebesbesbesbebebesbebes
在花生漫画中，主人翁查理布朗养的史努比一只会说话的黑白花小猎兔犬。	sbebessbmebmmessbmesssbesbmesbmes
作为父母，不仅要守护孩子健康成长，更要让孩子学会如何保护自己、远离危险。	bebesbesbebebebessssbebebebebesbebes
一直以为自己身体非常健康？	bebebebebebes
最近，香港的爱犬人士们为小狗们开通了一条“狗狗巴士专线”，每周日都会有两班巴士接送主人和他们的爱犬到香港最大的狗狗公园，两小时后再把大家送回上车的地方。	besbesbebmesbmebessssbebebesssbesssssbebebesbesbesbesssbebessbesssbebebesbes
剧场工作人员这个假期可以说如临大敌，熊孩子观众的“破坏力”远远超乎想象。	bebebessbebmebmmesbmebessbmesbebebes
网友：难道非等出了人命才解决问题？	besbessssbesbebes
据北京@李堃konlee称，拿招行卡去交通银行取钱，被吞了钱，好几个不听劝的也被吞了。	sbesbmmmmmmesssbmesbebebessssssbessbessssss
【跟团游被“超员”消费者质疑携程“差别对待”】	sbmessbesbmebebesbebess
生命时报根据美国“罗代尔生活网”的建议，列出“最佳瘦身时刻表”，赶快戳图看看，让我们一起瘦起来！	bebebebesbmebmessbesbesssbebmessbessbessbebesbes
Windows10操作系统的平台统一化被解读为微软希望能把自己在PC上的优势辐射到移动设备领域，打破安卓和苹果“双寡头垄断”状态的苦心。	bmmmmmmmebebesbebmesbesbebessbesbessbebesbebebesbebesbessbebesbesbes
3.传统招聘网站的盈利模式，对人口红利和经济增长的依赖较重。	ssbebebesbebessbebesbebesbesss
习近平主席22日在蒙古国大呼拉尔发表演讲时说，中国愿意为周边国家提供共同发展的机遇和空间，欢迎大家搭乘中国发展的列车，搭快车也好，搭便车也好，我们都欢迎。	bmebebmesbmebmmebebesssbebesbebebebebesbesbesbebebebebesbessbebessbebesbesbes
国庆长假最后一日的火车票今天开始通过网络和电话发售，12306又一次因高访问量的压力出现故障。	bebebesssbmebebebebesbebesbmmmesssssbmesbebebes
④步行北街、赏襄阳美女；	sbebessbebes
2537家A股上市公司相继公布的2014年半年报显示,上半年共2235家上市公司收到政府补贴,占比达88.1%,合计补贴金额高达322.63亿元。	bmmesbebebebebesbmmmebmebesbmesbmmesbebebebebesbesbmmmesbebebebebmmmmesss
只有领导干部以身作则、务实清廉，才能为社会环境的风清气正提供上行下效的引导。	bebebebmmesbebessssbebesbmmebebmmesbes
无论是进场还是就餐，人们至少都排队等候半小时。	besbebebesbebesbebesbes
门头沟龙泉镇琉璃渠村自元代开始便是皇家官窑，故宫屋顶的琉璃瓦都出自这里。	bmebmebmmesbebessbebesbebesbmesbebes
运河造就了城市的生死，城市影响着运河的起落。	bebesbesbesbebesbesbes
埃及男子IbrahimHamato是名残疾乒乓球选手，10岁因事故失去双臂，他没放弃，用嘴控制球拍多次夺冠。	bebebmmmmmmmmmmmessbebmebesbessbebebesssbesssbebebebes
目前经腾讯微博平台认证的政务微博超18万个，腾讯微信平台认证的政务微信达6000个。	besbebebebesbebesbmessbebebebesbebesbmmess
【国企高管薪酬改革进入“深水区”】	sbebebebebesbmess
官兵在糯扎渡移民点、松盘山自然村和光山移民点的展开救灾行动，官兵们携带救援物资器材走村入户抢运受灾群众财产物资、拆除危房、搭建帐篷。	besbmebmesbmebmesbebmesbebebesbmebebebebebebebebebebebesbebesbebes
本书主人公杰克就被赋予了这个使命，他穿越回那个年代，试图阻止暗杀肯尼迪的行动。	ssbmebessbesssbessbesssbesbebebebmesbes
记者从三亚市住房和城乡建设局相关负责人处获悉，该局已制定放开限购的方案，计划10月1日开始执行，并于上周将方案上报三亚市政府，目前正在等三亚市政府批准。	besbmebesbebmebebmesbessssbebebesbesbebmebebebesssbesbebebebmesbebesbmebebes
他和朋友买来坦克模型开始仿制，经过6个月的努力，目前已经成功制作两台编号为“008、009”号坦克。	ssbebebebebebesbessssbesbebebebessbessbmesbmessbes
网上一则拍摄于美国康乃狄克州神秘海洋馆的视频萌翻网友！	bessbmebebmmmebebmesbebebes
上海市社联针对2800名上海白领的调查显示，上海男性白领人文社会科学知识与素养水平状况总体比女性白领要略低；	bmebebebmmesbebesbebesbebebebebebebesbebebebesbebessss
@头条新闻特别制作了号角的音频供大家收藏，缅怀先烈。	sbebebebesbesbesbebesbebes
大街上，看吊带短裙，分外妖娆；	besssbebesbebes
如果国际社会能够认真倾听来自中国的反恐新声音，相信对于未来全球反恐大业善莫大焉！	bebebebebebebebesbesbesbebebebebebesssss
高血压被称为人类健康的“无形杀手”。	bmesbebebessbebess
工程竣工后，没有路基隔离的两区，无论是从交通角度和环境角度看，都会更加整洁方便。	bebessbebebessssbessbebesbebessssbebebes
这玩意儿在教科书上早就看得多了。	sbmesbmessssssss
犹豫的成因多种，显而易见的一种是，面前的选择非你所愿，还有一些地方令你遗憾。	besbesssbmmesssssbesbesssssssbebessbes
唯有勇毅前行，用一个更好的中国告慰先人！	bebebesssssssbebebes
Youtube上2000多万人看完这个视频后，有人放下了手机，有人默默卸掉了手游…	bmmmmmesbmmmmesbessbessssbesbesssbebesbes
第二天，研究人员让女的假装打男的，这时，围观者没有一个上前阻止，反而看得很开心。	bessbebesssbessssbesbmebessbebesbesssbes
广东省2014年首次配额有偿发放于9月26日完成，200万吨配额最终以26元/吨价格成交，高出拍卖底价1元。	bmebmmmebebebebesbebmebesbmmesbebesbesssbebesbebebesss
而当我们在醒后能采取行动时，又忘记了在梦中的觉悟。	ssbessssbebesssbesssssbes
近日，麦当劳在美国推出了一款全新吉祥物“Happy”，然而这个方方正正的纸盒卡通形象一面世就遭到了许多网友的挖苦讽刺。	besbmesbebesssbebmesbmmmessbessbmmesbebebesbesbesbebesbmmes
国庆长假期间，福建省有关部门将开展整治占用高速应急车道专项行动。	bebebesbmebebesbebebebebebebebes
“屏奴”主要的健康隐患就是两方面：眼睛和颈部的问题。	sbesbesbebesssbesbesbesbes
【青奥会的卢旺达女孩：曾用奖金为家里买了山羊】	sbmesbmebesssbesbessbes
多看慎行，则可以减少懊悔。	ssssssbebebes
时间是审查一切罪犯的最老练的法官。	besbebebessbesbes
回复@文贰仟先生:我们的目的是？？	besbmebesbesbesss
杰克•伦敦说过，慈善不是你有1亿美金的时候捐出100万，而是你有一块面包的时候掰下来一块与饥民同享。	bmmmesssbessssbebesbebebmmesssssssbesbesbesssbebes
杜鲁门和艾森豪威尔政府中的专家认为，中国不会卷入朝鲜战争。	bmesbmmmebessbebesbessbebebes
离开高中，迈入大学，再不会有老师监督你读书。	bebesbebesssssbebesbes
恒大昨天向亚足联递交了一份情况说明，今天的《体坛快讯》，我台随队记者将为您带来这方面的最新报道。	bebesbmebesssbebesbessbebessssbebesssbesbesssbes
另一方面，员工为什么离职，也是一直困扰中小企业的难题。	bmmesbebmebesssbebessbesbes
就是策动大规模违法活动，瘫痪香港的国际金融中心，损害香港的繁荣稳定。	ssbebmebebesbebesbebebesbebesbebes
我相信每一个人都有他生命的存折，亲情、友情、资质、智慧都是财富。	sbesssssssbesbesbesbesbesbessbes
穆雷在今年饱受伤病困扰，直到上周深圳公开赛，穆雷才艰难夺冠，这也是他拿下的第29座单打冠军。	besbebebebesbebebebmesbesbebesssssbesbmesbebes
据计算，一个家庭要在一代之内从社会综合地位的中间水平翻到社会顶层的0.5%，机会只有五亿分之一。	sbesssbessssbesbebebesbebebebebesbmmesbessbmmmes
今天，韩国仁川亚运会比赛全部结束，中国代表团摘得151金109银83铜，共计343枚奖牌，连续七届亚运会蝉联金牌和奖牌总数第一。	besbebebmebebebesbebmebebmesbmesbessbebmesbesbessbmebebesbebebes
现在最迫切是6日政府总部出入通道须恢复畅通，所有学校下周一可复课。	besbesbebebebebesbebesbebesbesbes
一起看看国际政坛那些大人物吧，其实他们严肃的外表下也有一颗未泯的童心！	bebebebebebmessbebebesbesssssbesbes
家里无线网络网速慢，检查了设备、网络连接等都没问题？	bebebebessbesbesbebesssbes
法国此前已在伊拉克实施侦察飞行，并向库尔德人提供武器，总统奥朗德上周还访问了伊拉克。	bebessbmebebebesssbmesbebesbebmebesbesbmes
这意味着，除了新奇，制作3D电影的投入并未带来多少特殊效果。	sbessbebesbebebesbebebebebebes
扬州八怪除了郑板桥之外还有谁？	bebebebmebessss
上世纪80、90年代，"万家灯火时,相聚在《今晚八点半》"，这样一档综艺类广播节目，以亲切交流的主持方式和新颖活泼的节目内容，立刻得到广大听众的喜爱。	sbebesbmmessssbessbessbebmesssbessbmebebessbebesbebesbebesbebesbebebebesbes
9月19日，阿里巴巴在美国纽约交易所上市，窦立国是8位敲钟人之一，见证了250亿美元汇聚、美股迄今规模最大的融资时刻。	bebmesbmmesbebebmebesbmesssbmebesbesbmmebebesbebebesssbebes
80后90后蓝领工人变了，他们宁可在家乡做啃老族。	bmebmebebesssbebesbesbmes
张(家界)桑(植)高速公路开工建设工作推进会近日在张家界召开，正式拉开张桑高速公路开工建设的帷幕。	ssbesssssbebebebebebmebesbmebesbebebebebebebesbes
李宗伟终究无法逾越这道天堑。	bmebebebessbes
关于传统村落的保护，有来自基层的摸索，更有自上而下的试验，存在特有的问题与困惑。	bebebesbessbebesbesssbmmesbesbebesbesbes
直到孕妇婴儿被送进医院后，他们才跟随公交车离开。	bebebesbebessbesbebmebes
中组部常务副部长陈希：山西干部队伍主流是好的，中央对山西广大干部是信任的。	bmebebmebesbebebebessssbesbebebesbess
对于广东高考禁用“网络语言”，你怎么看？	bebebebesbebesssbess
然而，更适合给予创业者的，是比热钱更重要的平台、资源和指导。	bessbebebmessssbesbesbesbesbes
国家互联网信息办有关负责人表示，1月以来已查处淫秽色情网站422家，关闭相关频道、栏目360个，关闭微博、博客、微信、论坛等各类账号4800多个，删除涉黄信息30余万条。	bebmebmebebmebesbebesbebebebebmessbebebesbebmessbebesbesbesbesbebebmmesssbebebebmmess
猛戳↓报名方法，抢这难得机会吧！	besbebesssbebess
车站工作人员说，他在车站乞讨已有10年。	bebebessssbebessbess
动静自如步子稳，踩准改革节奏，才能行稳致远。	bebebessbebebesssbebes
“假设红绿灯的间隔是一分钟，那就意味着交警一分钟内要推拉两次闸门，一个小时就是60次，连续推一下午，真是累得腰酸背疼。”	sbebmesbessbesssbesbesbessbessbesssbessbessbessbesbessbebess
令人悲哀的是，当我们在睡眠中听到自己良心的呼唤时，却不能马上有所行动；	ssbessssbesbesbebebesbesssssbebebes
但实际上它所给你的是无聊，是倦怠，是消沉；	sbmessssssbessbessbes
台湾媒体报道，联发科通过旗下子公司投资7990万美元，以每股68美元的价格买入阿里巴巴集团117.5万股股票，持股比例约0.05%。	bebebesbmebebebmebebmmmebessssbebesbebebmmebebmmmmesbesbebesbmmmes
戳图了解护牙的九大误区↓↓↓别让这些错误观念影响您的口腔健康哦！	ssbebesssbesssssbebebebessbebess
台湾消费者文教基金会3日公布市售塑胶包装食品塑化剂检测，其中38%塑胶包装食品验出有微量塑化剂，显示塑化剂污染问题严重。	bebmebebmebebebebebebebmebesbebmebebebebesbebmesbebmebebebes
【医院禁止护士上班时间带手机称为保病人安全】	sbebebebebesbesssbebes
⑧用“作”来找存在感；	sssssssbmes
吃辣椒为主的菜系，营养价值高的同时，味蕾也得到绝对极致的满足。	sbebesbesbebessbesbesbebebesbes
当成功不会让你太高兴，失败不会把你怎么样，平淡不会淹没你时，你就站在了生命的最高处。	sbesssssbesbessssbmesbessbesssssbesbesssss
玉林80后小伙杨文原计划这个国庆黄金周完成他西藏、尼泊尔骑行之旅。	bebmebebmebessbebmebesbesbmebesss
7月9日，这个涉案价值5000余万元的传销团伙被江北警方一举捣毁。	bebesssbebebmmmmessbebesbebebebes
对此业内人士表示“我们现在已经对注册制不那么期待了，因为现在看来是遥遥无期。	ssbebebesbebebesbmesbebessbebebesbmmes
将各姓氏的家谱修到网上，增加了图片、语音、音频、视频等多媒体记录形式，改变了存储和检索方式，避免了传统家谱信息散失的风险。	ssbesbebebesbesbesbesbesbesbmebebesbesbesbebesbesbebebebesbes
【更新：中国央行下调银行短期借款成本】	sbesbebebebebebebes
有良驹不怕路远，有益友不畏艰难；	sbessssssbessbes
告白与告别，一字之差，却意蕴完全不同，前者勇气与后者的悲凉，无不展现于这本书中。	besbesssssssbebebesbebesbesbesbebessssss
再次呼吁：遇到假钞，不要使用，交给银行或撕毁；	bebesbebesssbesbebesbes
中国梦，会在我们勤劳双手里绽放，告慰烈士之期盼。	bessssbebebesbesbebesbes
今年高考新变化见长微博@上海发布	bebesbessbesbebe
历史上的武大郎、潘金莲可谓千古奇冤，与《水浒传》中的演绎形象大相径庭：潘金莲以贤妻良母形象传闻乡里，后来与武植合葬；	bessbmesbmebebmmesssbmesssbebebmmesbmesbmmebebebesbesbebes
卡夫卡文学奖创立于2001年，主要颁给作品具人文主义关怀的作家，2004、2005年度的诺贝尔文学奖获得者都曾在获诺奖前获此奖项。	bmebesbesbmmmesbebebesbebebesbesbmmesbmmebesbmebesbmessssbesssbes
试试此方法：将柠檬切片放入密闭容器中，放入蜂蜜及凉开水，使其浸没柠檬片，密封盖好容器，放入冰箱，隔天拿出两片泡水即可。	besbessbebebebebessbebesbmesssbebmesbebebesbebesbebessbebes
【思科业绩不佳：CEO钱伯斯薪酬遭大幅下调】	sbebesssbmebmebesbebes
1860年的今天，英法联军攻占了北京，一把火吞噬了圆明园，仅留下13处皇家宫殿建筑。	bmmmesbesbebebesbessssbesbmessbebesbebebes
近期京城的天气很热闹，刚送别六七级大风，今日将迎来热情的骄阳。	bebesbesbessbebmebesbesbebesbes
【王正方：台湾艺人涉毒自毁前程】	sbmesbebebebebes
据统计，我国市场和田玉投放量约5000吨，其中青海昆仑玉年产约2600吨，俄罗斯玉约100吨，韩国玉近1400吨，和田玉约50吨。	sbesbebebmebmesbmmessbebebmebesbmmessbmmesbmessbmesbmmessbmesbess
与其徒劳地抱怨命运不公，还不如淡定从容地笑对人生。	bebesbebebessbebebesbebes
网球虽好，但李娜值得有更好的生活。	bessssbebessssbes
随着该项政策持续发酵,未来几个月,楼市可能逐步回暖。	bessbebebesbessssbebebebes
但对于美国政府的减排承诺，61%的网友认为这也未必会让奥巴马赢得更多的支持。	sbebebesbebesbmesbebessbessbmebebesbes
幸好小编值班不能出门你怎么样，在路上吗？	bebebessbesbmessbess
今年毕业，他选择留在新疆，继续做孩子的“湖南哥哥”。	bebessbebebesbesbessbebess
前日中午，因积劳成疾导致内脏大出血，经47小时抢救，武汉市45岁的环卫重装突击队长朱国喜不幸离世。	bebessbmmebebesbessbebebesbmebessbebebebebmebebes
近几年来，最美教师、最美司机、最美孝心少年、最美战士…	sssssssbesssbesssbebesssbes
【中国经济再陷入稳住房地产就稳住全局死循环】	sbebesbebebmesbebebmes
【江苏两成居民是“宅男宅女”包括你吗？】	sbebebessbebesbessss
惠州龙门县永汉镇暴雨，梁先生养猪场500多头猪或被淹死或不知去向。	bebmebmebessbebmebmmessssbesssbes
网友：我曾经跨过山和大海，也穿过人山人海，觉得宅在家里才是唯一的答案…	bessbebessbessbebmmesbessbessbesbes
一辆运载煤渣的大货车突然失控，翻倒在路边。	ssbebessbebebesbesbes
经电话初步了解，越西县有一定震感，但不是很强烈，震中初步判定位于申果庄乡附近。	sbebebesbmesbebesssssbesbebebebebmmebes
【彭山人大原主任违规占用企业车辆和经商被撤职】	sbebesbebebebebesbesbes
【好人有好报：浙江女子21年前帮助小乞丐如今获赠百万支票】	sbesbesbebebessbesbebebebebes
民航局7月为保护企鹅繁殖发布类似通告。	bmebesbebebebebebes
9月20日上午，省人才服务中心联合各市公共就业人才服务机构，在全省范围内共同举办2014年全省高校毕业生就业见习对接会。	bebmebessbebebebessbebebebebessssbesbebebmmmessbebmebebebmes
忻城县是广西壮锦的起源地之一，目前整个忻城县，只有一人掌握着壮锦编花本（图案）的技术。	bmesbebesbmebesbebebmesssssbesbebmesbessbes
请认真看完，最后那个妹纸绝对是个天使！|	sbebesbessbebessbess
【前世界最重胖男去世最重时达半吨】	ssbessbebesssssss
经鉴定，胡某抢夺的三根金项链、一部白色苹果5s手机共计价值人民币1.8万余元。	sbesbebessssbesssbebebebessbebmebmmesss
香港律政司司长6月2日被问及“占中”行动将于22日举行“公投”时，强调政改咨询须顾及基本法条文。	bebmebebebesbesbesbessbmebesbesssbebebesbebmebes
纵横点评：职能部门挂牌本是为方便居民办事，如今在某些地方却变成了上级部门各种名称的展示，工作的落实最终只落在了各种牌子上。	bebesbebebesssbebebesbesbebesbesbebebebesbesbesbebesbesbebess
电子港湾（eBay）和贝宝（PayPal）将分道扬镳。	bebesbmmessbesbmmmmessbmmes
基层和“苍蝇”式腐败上升；	bessbessbebes
微信6.0省流量小秘诀，设置—通用—朋友圈小视频—仅wifi。	bebmesbesbesbesbesbmesbessbmmes
这种勇气与智慧令人欣赏，因为做长旅游产业链，才会慢慢摆脱“门票经济”的依赖。	ssbesbessbesbebebebmesssbebesbebessbes
2014年8月31日，第十二届全国人民代表大会常务委员会第十次会议作出关于设立烈士纪念日的决定，将9月30日设立为烈士纪念日。	bmmmebebmesbmesbebebebebebmebesbebebebebebmesbessbebmebesbebmes
在纪念盟军诺曼底登陆70周年之际，摄影师ChrisHelgren找到那些曾经硝烟弥漫的地方，按下了快门。	sbebebmebebebebesbmebmmmmmmmmmmebebebebmmesbesbesbes
真正的大心境，并非放弃后的坦然，而是放下后的无意。	bessbesbebessbesssbessbes
五部门出台购房新政：还清贷款再买房算首套（不管你名下有几套房），公积金连续缴存6个月可申请贷款。	sbebebebesbebesbesbesbesbessssssbmebebessssbebes
从1999年首个国庆“黄金周”开始，集中休假的假日制度渐渐改变着中国人的生活方式。	sbmmmessbesbmesbesbebesbebebebesbessbebes
【向泰国广告学习温情营销】	ssbebebebebes
我们常常抱怨，大学四年，我们的成绩优于男生，各种表现也不比他们逊色；	bebebesbesssbesbebebesbebesssbebes
⑤遇到流浪老人，请走上前关怀；	sbebebessbmebes
（新闻晨报）总之，exe的文件慎点！	sbebesbesbmesbesss
-美国得克萨斯州因可能感染埃博拉病毒而接受筛查的人数周四增至大约100人，目前卫生部门官员正在广撒网，试图防止美国本土唯一一例埃博拉感染病例引发更大规模的疫情。	sbebmmmesbebebmebesbebesbebebebebmessbebebebebesbesbebebebebessbmebebebessbesbes
如何让它不停留在一场狂欢？	besssbesssbes
【Google式强迫症：新LOGO字母移动一个像素】	sbmmmmesbmessbmmebebessbes
在12月底可以将当前70%的患者隔离开来，那么此次埃博拉疫情“到1月20日几乎就将结束”。	sbmmebesbebmesbebebesbessbmebessbebmebessbess
年轻时常觉得时间大把，就东混西混，什么都无所谓。	bessbebebesssssssbesbmes
所幸这位母亲经抢救，没有生命危险。	bessbesbesbebebes
大家都听过罗马不是一天建成的这个说法，罗马这么辉煌的城市，过去叫“永恒之城”。	besssbessssbesssbesbebebesbesbessbessss
【琼海潭门：一曲渔家傲唱不尽新变化】	sbebesssbmessssbes
在KakaoTalk平台上，用户每天都要花上好几个小时，在热门游戏中粉碎糖果，与好友分享照片和视频，相互发送可爱表情与数字贴纸…	sbmmmmmmmebessbebessbesssbessbebesbebessbebebesbesbebebebesbebes
承载了老北京人记忆的北冰洋汽水回归三年后，今年夏天一度脱销。	bessbesbesbmebebessssbebebebes
4.安检时先放大包，方便先从另一侧拿回，用它整装东西；	ssbesssbesbesssbebesssbebes
苹果发言人称，“没有受到任何税法差别待遇”。	bebmesssbebebebebebess
“9·11”当天，美国联合航空公司的93号航班在宾州坠毁。	sbmmesbesbebebebesbesbesbebes
雨一直下，冷冻得直打哆嗦	sbessbessbme
【经济学书单，有兴趣的童鞋赶紧收了吧！	sbmebessbesbebessss
【五岁多儿子独自上错车母亲焦急猛追车】	ssssbebebesbebesbes
想避开拥堵，可尝试走比较‘年轻’的高速公路。	sbebessbesbesbessbebes
声明还对任何阻挠车队的企图发出警告。	bessbebebesbebebes
WWF最新发布《地球生命力报告2014》称，生物多样性锐减以及不可持续的生态足迹威胁着自然系统和人类生活。	bmessbesbebmebebmmesssbebmebebessbesbebebesbebesbebes
2013年他放弃体制内工作，签约上海沃德医疗中心，后又签了北京和睦家。	bmmmesbebesbesbebebebebesssssbebmes
阿婆说：退休工资被儿子拿走，每月只给200元生活费。	bessbebesbebesbessbmesbmes
【“阿里银行”真的来了纯网络银行无实体店】	ssbebesbesssbebesbmes
想生大多是怕孩子孤单，或者想再要个儿子或女儿；	ssbessbebesbessssbesbes
据华夏时报报道，原哇哈哈集团党委书记杜建英及神秘人士宗蕊，现身准上市公司内。	sbebebessbmebebebebmesbebebesbesbebess
这队监督员有4人，昨晚在顿涅茨克东部地区进行常规巡逻时失去联系。	ssbmessssbesbmmebebebebebesbebes
10月1日，一些小朋友在内黄县城关镇乡村晾晒的玉米堆上玩耍。	bmebesbebmesbmebmebebesbmesbes
10月3日，湖北武汉的两名大学生擅自穿越吉林省长白山国家级自然保护区在山中迷失，7日早7时10分，经过长白山管委会组织近百人的搜救队16个小时的艰苦搜寻，二人成功获救。	bmebesbebesssbmebebebmebmebmebebmesssbesbmebmmmesbebmebmebessssbmebesbesbebesssbebes
图为一位保洁员在解放碑步行街辛勤工作。	ssssbmesbmebmebebes
在很多学生看来，聪明意味着会批判。	sbebebesbebessbes
中央财政原有120元补助标准不变，对200元部分按照西部地区80%和中部地区60%的比例安排补助；	bebebebmesbebessssbmesbebebebebmesbebebmesbebebes
回国后,钱学森主持和领导中科院力学方面的研究工作。	bessbmebesbebmebebesbebes
“交友的核心内容是要跟人学会相处，中国的大学宿舍里住6个人，这对学生是极其有益的。	sbesbebessssbebesbesbebessssssssbesbebess
缉拿连云港灭门案凶手】	bebmebmebes
一闪而过的海量图片，你能记得住吗？	bmmesbebesssbesss
现在微软移动设备网站已正式上线。	bebebebebesbebes
自8月19日起《经济半小时》连续播出纪实调查“贫困学生圆大学梦”系列节目。	sbebmessbesbesbebebebesbebesbessbebes
7.用朴素的语言交流，简单清楚易理解；	sssbesbebesbebesbes
比如，2013年7月，中办、国办、军委办联合印发《关于进一步加强烈士纪念工作的意见》，年底，解放军总政治部在北京西山国家森林公园建起保密战线无名英雄纪念浮雕。	besbmmmebesbesbesbmebebesbebmebebebebesbessbesbmesbmesbebebebebebebebebebebebes
人一生中约有1/3的时间在睡觉，当人们睡眠被剥夺时，他们在思考和决策时会变得混乱，学习也变得更加困难。	sbesssbmesbesbessbebesbessbesbesbessssbesbesssbebes
【国土部盘活存量：鼓励存量建设用地建影院】	sbmebebesbebebebesbes
广西发改委原副主任廖小波涉受贿被移送审查起诉	bebmesbmebmesbesbebebe
电影《麦兜我和我妈妈》上映咯，小伙伴们有去看吗？	besbesssbesbessbmmesssss
【别让一生输在一个"等"字上】	sssbessssssssss
分地区来看，约九成省区市的白条鸡价格上涨。	sbessssbessssbmebebes
